,year_film,year_ceremony,ceremony,film,winner,original_language,original_title,release_date,vote_average,genre,rating,duration,era
191,1954,1955,27,The Country Girl,False,en,The Country Girl,1954-12-15,6.887,['Drama'],7.2,104.0,Golden Era
192,1954,1955,27,On the Waterfront,True,en,On the Waterfront,1954-06-22,7.941,"['Crime', 'Drama', 'Romance']",8.1,108.0,Golden Era
193,1954,1955,27,Seven Brides for Seven Brothers,False,en,Seven Brides for Seven Brothers,1954-07-22,7.215,"['Comedy', 'Drama', 'Western']",7.3,102.0,Golden Era
194,1954,1955,27,Three Coins in the Fountain,False,en,Three Coins in the Fountain,1954-05-01,5.963,"['Drama', 'Romance']",6.2,102.0,Golden Era
195,1955,1956,28,Love Is a Many-Splendored Thing,False,en,Love Is a Many-Splendored Thing,1955-08-18,6.019,"['Drama', 'Romance']",6.4,102.0,The Change
196,1955,1956,28,Marty,True,en,Marty,1955-04-11,7.473,"['Drama', 'Romance']",7.7,90.0,The Change
197,1955,1956,28,Mister Roberts,False,en,Mister Roberts,1955-07-10,7.058,"['Comedy', 'Drama', 'War']",7.6,123.0,The Change
198,1955,1956,28,Picnic,False,en,Picnic,1955-11-18,6.4,"['Drama', 'Romance']",7.0,115.0,The Change
199,1955,1956,28,The Rose Tattoo,False,en,The Rose Tattoo,1955-12-12,7.0,"['Drama', 'Romance']",6.9,117.0,The Change
200,1956,1957,29,Around the World in Eighty Days,True,en,Around the World in Eighty Days,1956-10-17,6.664,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",6.7,167.0,The Change
201,1956,1957,29,Friendly Persuasion,False,en,Friendly Persuasion,1956-11-25,6.6,"['Drama', 'War']",7.3,137.0,The Change
202,1956,1957,29,Giant,False,en,Giant,1956-11-08,7.621,"['Drama', 'Western']",7.6,201.0,The Change
203,1956,1957,29,The King and I,False,en,The King and I,1956-06-29,7.078,"['Drama', 'Romance', 'Adventure', 'Music']",7.4,133.0,The Change
204,1956,1957,29,The Ten Commandments,False,en,The Ten Commandments,1956-10-05,7.751,"['Drama', 'History']",7.9,220.0,The Change
205,1957,1958,30,The Bridge on the River Kwai,True,en,The Bridge on the River Kwai,1957-10-11,7.835,"['Drama', 'History', 'War']",8.1,161.0,The Change
206,1957,1958,30,Peyton Place,False,en,Peyton Place,1957-12-13,6.689,"['Drama', 'Romance']",7.2,157.0,The Change
207,1957,1958,30,Sayonara,False,en,Sayonara,1957-12-25,6.57,"['Drama', 'Romance']",7.0,147.0,The Change
208,1957,1958,30,12 Angry Men,False,en,12 Angry Men,1957-04-10,8.545,['Drama'],9.0,96.0,The Change
209,1957,1958,30,Witness for the Prosecution,False,en,Witness for the Prosecution,1957-12-17,8.215,"['Drama', 'Mystery', 'Crime']",8.4,116.0,The Change
210,1958,1959,31,Auntie Mame,False,en,Auntie Mame,1958-12-04,7.016,"['Comedy', 'Drama']",7.9,143.0,The Change
211,1958,1959,31,Cat on a Hot Tin Roof,False,en,Cat on a Hot Tin Roof,1958-08-29,7.662,['Drama'],7.9,108.0,The Change
212,1958,1959,31,The Defiant Ones,False,en,The Defiant Ones,1958-08-14,7.135,"['Crime', 'Drama']",7.6,96.0,The Change
213,1958,1959,31,Gigi,True,en,Gigi,1958-05-15,6.224,"['Comedy', 'Romance']",6.6,115.0,The Change
214,1958,1959,31,Separate Tables,False,en,Separate Tables,1958-12-18,6.827,"['Drama', 'Romance']",7.4,100.0,The Change
215,1959,1960,32,Anatomy of a Murder,False,en,Anatomy of a Murder,1959-07-01,7.841,"['Crime', 'Drama', 'Mystery']",8.0,161.0,The Change
216,1959,1960,32,Ben-Hur,True,en,Ben-Hur,1959-11-18,7.878,"['History', 'Drama', 'Adventure', 'Action']",8.1,212.0,The Change
217,1959,1960,32,The Diary of Anne Frank,False,en,The Diary of Anne Frank,1959-03-18,7.212,"['Drama', 'History']",7.4,180.0,The Change
218,1959,1960,32,The Nun's Story,False,en,The Nun's Story,1959-06-18,7.154,['Drama'],7.5,149.0,The Change
219,1959,1960,32,Room at the Top,False,en,Room at the Top,1959-01-22,6.884,"['Drama', 'Romance']",7.5,117.0,The Change
220,1960,1961,33,The Alamo,False,en,The Alamo,1960-10-23,7.18,['Western'],6.8,162.0,The Change
221,1960,1961,33,The Apartment,True,en,The Apartment,1960-06-21,8.217,"['Comedy', 'Drama', 'Romance']",8.3,125.0,The Change
222,1960,1961,33,Elmer Gantry,False,en,Elmer Gantry,1960-07-07,7.283,['Drama'],7.7,146.0,The Change
223,1960,1961,33,Sons and Lovers,False,en,Sons and Lovers,1960-08-29,6.545,['Drama'],7.1,103.0,The Change
224,1960,1961,33,The Sundowners,False,en,The Sundowners,1960-12-08,6.6,['Adventure'],7.1,133.0,The Change
225,1961,1962,34,Fanny,False,en,Fanny,1961-06-28,6.682,"['Drama', 'Romance']",6.8,134.0,The Change
226,1961,1962,34,The Guns of Navarone,False,en,The Guns of Navarone,1961-04-27,7.313,"['War', 'Action', 'Adventure']",7.5,158.0,The Change
227,1961,1962,34,The Hustler,False,en,The Hustler,1961-09-25,7.694,"['Drama', 'Romance']",8.0,134.0,The Change
228,1961,1962,34,Judgment at Nuremberg,False,en,Judgment at Nuremberg,1961-12-18,8.041,"['Drama', 'History', 'War']",8.3,179.0,The Change
229,1961,1962,34,West Side Story,True,en,West Side Story,1961-12-13,7.258,"['Crime', 'Drama', 'Romance']",7.6,153.0,The Change
230,1962,1963,35,Lawrence of Arabia,True,en,Lawrence of Arabia,1962-12-11,7.988,"['Adventure', 'Drama', 'History', 'War']",8.3,218.0,The Change
231,1962,1963,35,The Longest Day,False,en,The Longest Day,1962-09-25,7.595,"['War', 'Action', 'Drama']",7.7,178.0,The Change
232,1962,1963,35,The Music Man,False,en,The Music Man,1962-06-19,7.113,"['Comedy', 'Family', 'Music', 'Romance']",7.7,151.0,The Change
233,1962,1963,35,Mutiny on the Bounty,False,en,Mutiny on the Bounty,1962-11-08,7.016,"['Adventure', 'Drama', 'History']",7.2,178.0,The Change
234,1962,1963,35,To Kill a Mockingbird,False,en,To Kill a Mockingbird,1962-12-20,7.996,['Drama'],8.3,129.0,The Change
235,1963,1964,36,America America,False,en,America America,1963-12-15,6.885,"['Drama', 'History']",7.7,174.0,The Change
236,1963,1964,36,Cleopatra,False,en,Cleopatra,1963-06-12,7.055,"['Drama', 'History', 'Romance']",7.0,192.0,The Change
237,1963,1964,36,How the West Was Won,False,en,How the West Was Won,1962-11-02,7.041,['Western'],7.0,164.0,The Change
238,1963,1964,36,Lilies of the Field,False,en,Lilies of the Field,1963-06-04,7.188,"['Comedy', 'Drama']",7.5,94.0,The Change
239,1963,1964,36,Tom Jones,True,en,Tom Jones,1963-08-24,6.005,"['Adventure', 'Comedy', 'Romance']",6.4,129.0,The Change
240,1964,1965,37,Becket,False,en,Becket,1964-03-11,7.199,"['Drama', 'History']",7.8,148.0,The Change
241,1964,1965,37,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False,en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,8.127,"['Comedy', 'War']",8.4,95.0,The Change
242,1964,1965,37,Mary Poppins,False,en,Mary Poppins,1964-12-17,7.573,"['Comedy', 'Family', 'Fantasy']",7.8,139.0,The Change
243,1964,1965,37,My Fair Lady,True,en,My Fair Lady,1964-10-21,7.528,"['Music', 'Comedy', 'Romance', 'Drama']",7.7,170.0,The Change
244,1964,1965,37,Zorba the Greek,False,el,Αλέξης Ζορμπάς,1964-12-14,7.498,['Drama'],7.6,142.0,The Change
245,1965,1966,38,Darling,False,en,Darling,1965-08-03,6.721,"['Drama', 'Romance']",7.0,128.0,The Change
246,1965,1966,38,Doctor Zhivago,False,en,Doctor Zhivago,1965-12-22,7.533,"['Drama', 'Romance', 'War']",7.9,197.0,The Change
247,1965,1966,38,Ship of Fools,False,en,Ship of Fools,1965-07-29,6.524,"['Drama', 'Romance']",7.1,149.0,The Change
248,1965,1966,38,The Sound of Music,True,en,The Sound of Music,1965-03-29,7.712,"['Drama', 'Family', 'Music', 'Romance']",8.1,172.0,The Change
249,1965,1966,38,A Thousand Clowns,False,en,A Thousand Clowns,1965-12-13,6.92,"['Comedy', 'Drama', 'Romance']",7.3,118.0,The Change
250,1966,1967,39,Alfie,False,en,Alfie,1966-03-29,6.451,"['Comedy', 'Drama', 'Romance']",7.0,114.0,The Change
251,1966,1967,39,A Man for All Seasons,True,en,A Man for All Seasons,1966-12-13,7.337,"['Drama', 'History']",7.7,120.0,The Change
252,1966,1967,39,The Russians Are Coming! The Russians Are Coming!,False,en,The Russians Are Coming! The Russians Are Coming!,1966-05-25,6.3,"['Comedy', 'War']",7.0,126.0,The Change
253,1966,1967,39,The Sand Pebbles,False,en,The Sand Pebbles,1966-12-20,7.196,"['Adventure', 'War', 'Drama']",7.5,182.0,The Change
254,1966,1967,39,Who's Afraid of Virginia Woolf?,False,en,Who's Afraid of Virginia Woolf?,1966-06-22,7.735,['Drama'],8.0,131.0,The Change
255,1967,1968,40,Bonnie and Clyde,False,en,Bonnie and Clyde,1967-08-14,7.482,"['Crime', 'Drama']",7.7,111.0,The Change
256,1967,1968,40,Doctor Dolittle,False,en,Doctor Dolittle,1967-12-05,6.121,"['Comedy', 'Family', 'Fantasy']",6.1,152.0,The Change
257,1967,1968,40,The Graduate,False,en,The Graduate,1967-12-21,7.649,"['Comedy', 'Drama', 'Romance']",8.0,106.0,The Change
258,1967,1968,40,Guess Who's Coming to Dinner,False,en,Guess Who's Coming to Dinner,1967-12-11,7.568,"['Drama', 'Comedy', 'Romance']",7.8,108.0,The Change
259,1967,1968,40,In the Heat of the Night,True,en,In the Heat of the Night,1967-08-02,7.65,"['Crime', 'Drama', 'Mystery', 'Thriller']",7.9,110.0,The Change
260,1968,1969,41,Funny Girl,False,en,Funny Girl,1968-09-19,7.19,"['Comedy', 'Drama', 'Romance']",7.3,151.0,The Change
261,1968,1969,41,The Lion in Winter,False,en,The Lion in Winter,1968-10-30,7.414,"['Drama', 'History']",7.9,134.0,The Change
262,1968,1969,41,Oliver!,True,en,Oliver!,1968-09-26,6.964,"['Drama', 'Family', 'Music']",7.4,153.0,The Change
263,1968,1969,41,"Rachel, Rachel",False,en,"Rachel, Rachel",1968-08-26,6.577,"['Drama', 'Romance']",7.1,101.0,The Change
264,1968,1969,41,Romeo and Juliet,False,en,Romeo and Juliet,1968-04-02,7.351,"['Drama', 'Romance']",7.6,138.0,The Change
265,1969,1970,42,Anne of the Thousand Days,False,en,Anne of the Thousand Days,1969-12-18,7.014,"['Drama', 'History', 'Romance']",7.4,145.0,The Change
266,1969,1970,42,Butch Cassidy and the Sundance Kid,False,en,Butch Cassidy and the Sundance Kid,1969-01-15,7.603,['Western'],8.0,110.0,The Change
267,1969,1970,42,"Hello, Dolly!",False,en,"Hello, Dolly!",1969-12-12,7.0,"['Comedy', 'Romance', 'Music']",7.0,146.0,The Change
268,1969,1970,42,Midnight Cowboy,True,en,Midnight Cowboy,1969-05-25,7.516,['Drama'],7.8,113.0,The Change
269,1969,1970,42,Z,False,fr,Z,1969-02-26,7.887,"['Thriller', 'Crime', 'Drama']",8.2,127.0,The Change
270,1970,1971,43,Airport,False,en,Airport,1970-05-29,6.395,"['Action', 'Drama', 'Thriller']",6.6,137.0,The Change
271,1970,1971,43,Five Easy Pieces,False,en,Five Easy Pieces,1970-09-12,7.156,['Drama'],7.4,98.0,The Change
272,1970,1971,43,Love Story,False,en,Love Story,1970-12-16,6.785,"['Romance', 'Drama']",6.9,100.0,The Change
273,1970,1971,43,M*A*S*H,False,en,M*A*S*H,1970-02-18,6.97,"['Comedy', 'Drama', 'War']",7.4,116.0,The Change
274,1970,1971,43,Patton,True,en,Patton,1970-01-25,7.511,"['War', 'Drama', 'History']",7.9,172.0,The Change
275,1971,1972,44,A Clockwork Orange,False,en,A Clockwork Orange,1971-12-19,8.2,"['Science Fiction', 'Crime']",8.3,136.0,The Change
276,1971,1972,44,Fiddler on the Roof,False,en,Fiddler on the Roof,1971-11-03,7.694,"['Drama', 'Romance']",8.0,181.0,The Change
277,1971,1972,44,The French Connection,True,en,The French Connection,1971-10-09,7.537,"['Action', 'Crime', 'Thriller']",7.7,104.0,The Change
278,1971,1972,44,The Last Picture Show,False,en,The Last Picture Show,1971-10-03,7.619,['Drama'],8.0,118.0,The Change
279,1971,1972,44,Nicholas and Alexandra,False,en,Nicholas and Alexandra,1971-11-29,7.0,"['Drama', 'War', 'History']",7.2,183.0,The Change
280,1972,1973,45,Cabaret,False,en,Cabaret,1972-02-13,7.378,"['Music', 'Drama', 'Romance']",7.8,124.0,The Change
281,1972,1973,45,Deliverance,False,en,Deliverance,1972-08-18,7.313,"['Drama', 'Adventure', 'Thriller']",7.7,109.0,The Change
282,1972,1973,45,The Emigrants,False,sv,Utvandrarna,1971-03-08,7.5,"['Drama', 'History']",8.0,191.0,The Change
283,1972,1973,45,The Godfather,True,en,The Godfather,1972-03-14,8.708,"['Drama', 'Crime']",9.2,175.0,The Change
284,1972,1973,45,Sounder,False,en,Sounder,1972-09-24,7.381,['Drama'],7.5,105.0,The Change
285,1973,1974,46,American Graffiti,False,en,American Graffiti,1973-08-11,7.031,"['Comedy', 'Drama']",7.4,110.0,The Change
286,1973,1974,46,Cries and Whispers,False,sv,Viskningar och rop,1972-12-21,7.939,['Drama'],8.0,91.0,The Change
287,1973,1974,46,The Exorcist,False,en,The Exorcist,1973-12-26,7.721,['Horror'],8.1,122.0,The Change
288,1973,1974,46,The Sting,True,en,The Sting,1973-12-25,8.018,"['Comedy', 'Crime', 'Drama']",8.3,129.0,The Change
289,1973,1974,46,A Touch of Class,False,en,A Touch of Class,1973-05-25,6.255,"['Comedy', 'Romance']",6.5,106.0,The Change
290,1974,1975,47,Chinatown,False,en,Chinatown,1974-06-20,7.915,"['Crime', 'Drama', 'Mystery', 'Thriller']",8.2,130.0,The Change
291,1974,1975,47,The Conversation,False,en,The Conversation,1974-04-07,7.524,"['Crime', 'Drama', 'Mystery']",7.8,113.0,The Change
292,1974,1975,47,The Godfather Part II,True,en,The Godfather Part II,1974-12-20,8.59,"['Drama', 'Crime']",9.0,202.0,The Change
293,1974,1975,47,Lenny,False,en,Lenny,1974-11-10,7.3,['Drama'],7.5,111.0,The Change
294,1974,1975,47,The Towering Inferno,False,en,The Towering Inferno,1974-12-14,7.023,"['Action', 'Drama', 'Thriller']",7.0,165.0,The Change
295,1975,1976,48,Barry Lyndon,False,en,Barry Lyndon,1975-12-18,8.003,"['Drama', 'Romance', 'War']",8.1,185.0,The Change
296,1975,1976,48,Dog Day Afternoon,False,en,Dog Day Afternoon,1975-09-21,7.836,"['Crime', 'Drama', 'Thriller']",8.0,125.0,The Change
297,1975,1976,48,Jaws,False,en,Jaws,1975-06-20,7.66,"['Horror', 'Thriller', 'Adventure']",8.1,124.0,The Change
298,1975,1976,48,Nashville,False,en,Nashville,1975-06-11,7.242,"['Drama', 'Music', 'Comedy']",7.6,160.0,The Change
299,1975,1976,48,One Flew over the Cuckoo's Nest,True,en,One Flew Over the Cuckoo's Nest,1975-11-19,8.422,['Drama'],8.7,133.0,The Change
300,1976,1977,49,All the President's Men,False,en,All the President's Men,1976-04-09,7.668,"['Drama', 'History', 'Mystery', 'Thriller']",7.9,138.0,The Change
301,1976,1977,49,Bound for Glory,False,en,Bound for Glory,1976-12-05,6.8,"['Music', 'Drama']",7.2,147.0,The Change
302,1976,1977,49,Network,False,en,Network,1976-11-14,7.821,['Drama'],8.1,121.0,The Change
303,1976,1977,49,Rocky,True,en,Rocky,1976-11-21,7.79,['Drama'],8.1,120.0,The Change
304,1976,1977,49,Taxi Driver,False,en,Taxi Driver,1976-02-09,8.155,"['Crime', 'Drama']",8.2,114.0,The Change
305,1977,1978,50,Annie Hall,True,en,Annie Hall,1977-04-19,7.756,"['Comedy', 'Drama', 'Romance']",8.0,93.0,Modern Era
306,1977,1978,50,The Goodbye Girl,False,en,The Goodbye Girl,1977-11-27,6.891,"['Comedy', 'Drama', 'Romance']",7.4,111.0,Modern Era
307,1977,1978,50,Julia,False,en,Julia,1977-10-01,6.601,['Drama'],7.1,117.0,Modern Era
308,1977,1978,50,Star Wars,False,en,Star Wars,1977-05-25,8.205,"['Adventure', 'Action', 'Science Fiction']",8.6,121.0,Modern Era
309,1977,1978,50,The Turning Point,False,en,The Turning Point,1977-11-14,6.5,"['Drama', 'Romance']",6.8,119.0,Modern Era
310,1978,1979,51,Coming Home,False,en,Coming Home,1978-02-15,7.006,"['Drama', 'Romance', 'War']",7.3,127.0,Modern Era
311,1978,1979,51,The Deer Hunter,True,en,The Deer Hunter,1978-12-08,8.002,"['Drama', 'War']",8.1,183.0,Modern Era
312,1978,1979,51,Heaven Can Wait,False,en,Heaven Can Wait,1978-06-28,6.562,"['Fantasy', 'Comedy', 'Romance']",6.9,101.0,Modern Era
313,1978,1979,51,Midnight Express,False,en,Midnight Express,1978-08-31,7.517,"['Drama', 'Crime']",7.5,121.0,Modern Era
314,1978,1979,51,An Unmarried Woman,False,en,An Unmarried Woman,1978-05-24,6.6,"['Drama', 'Romance', 'Comedy']",7.2,124.0,Modern Era
315,1979,1980,52,All That Jazz,False,en,All That Jazz,1979-12-16,7.459,['Drama'],7.8,123.0,Modern Era
316,1979,1980,52,Apocalypse Now,False,en,Apocalypse Now,1979-08-15,8.281,"['Drama', 'War']",8.4,147.0,Modern Era
317,1979,1980,52,Breaking Away,False,en,Breaking Away,1979-05-24,7.086,"['Drama', 'Comedy']",7.7,101.0,Modern Era
318,1979,1980,52,Kramer vs. Kramer,True,en,Kramer vs. Kramer,1979-12-07,7.558,['Drama'],7.8,105.0,Modern Era
319,1979,1980,52,Norma Rae,False,en,Norma Rae,1979-03-02,7.191,['Drama'],7.3,114.0,Modern Era
320,1980,1981,53,Coal Miner's Daughter,False,en,Coal Miner's Daughter,1980-03-07,7.256,"['Music', 'Drama']",7.5,124.0,Modern Era
321,1980,1981,53,The Elephant Man,False,en,The Elephant Man,1980-10-09,8.048,"['Drama', 'History']",8.2,124.0,Modern Era
322,1980,1981,53,Ordinary People,True,en,Ordinary People,1980-09-19,7.441,['Drama'],7.7,124.0,Modern Era
323,1980,1981,53,Raging Bull,False,en,Raging Bull,1980-11-14,7.944,['Drama'],8.1,129.0,Modern Era
324,1980,1981,53,Tess,False,en,Tess,1979-10-06,7.016,"['Drama', 'Romance']",7.3,186.0,Modern Era
325,1981,1982,54,Atlantic City,False,en,Atlantic City,1980-09-03,6.838,"['Crime', 'Drama', 'Romance']",7.3,104.0,Modern Era
326,1981,1982,54,Chariots of Fire,True,en,Chariots of Fire,1981-05-15,6.794,"['Drama', 'History']",7.1,125.0,Modern Era
327,1981,1982,54,On Golden Pond,False,en,On Golden Pond,1981-12-01,7.272,"['Drama', 'Romance']",7.6,109.0,Modern Era
328,1981,1982,54,Raiders of the Lost Ark,False,en,Raiders of the Lost Ark,1981-06-12,7.927,"['Adventure', 'Action']",8.4,115.0,Modern Era
329,1981,1982,54,Reds,False,en,Reds,1981-12-25,6.902,"['Drama', 'History', 'Romance']",7.3,195.0,Modern Era
330,1982,1983,55,E.T. The Extra-Terrestrial,False,en,E.T. the Extra-Terrestrial,1982-06-11,7.515,"['Science Fiction', 'Adventure', 'Family', 'Fantasy']",7.9,115.0,Modern Era
331,1982,1983,55,Gandhi,True,en,Gandhi,1982-11-30,7.545,"['Drama', 'History']",8.0,191.0,Modern Era
332,1982,1983,55,Missing,False,en,Missing,1982-02-12,7.25,"['Drama', 'Mystery', 'Thriller']",7.7,122.0,Modern Era
333,1982,1983,55,Tootsie,False,en,Tootsie,1982-12-17,7.214,"['Comedy', 'Romance']",7.4,116.0,Modern Era
334,1982,1983,55,The Verdict,False,en,The Verdict,1982-12-08,7.47,['Drama'],7.7,129.0,Modern Era
335,1983,1984,56,The Big Chill,False,en,The Big Chill,1983-09-30,6.874,"['Comedy', 'Drama']",7.1,105.0,Modern Era
336,1983,1984,56,The Dresser,False,en,The Dresser,1983-12-06,6.7,['Drama'],7.5,118.0,Modern Era
337,1983,1984,56,The Right Stuff,False,en,The Right Stuff,1983-10-20,7.433,"['Drama', 'History', 'Adventure']",7.8,193.0,Modern Era
338,1983,1984,56,Tender Mercies,False,en,Tender Mercies,1983-04-02,6.58,"['Drama', 'Music', 'Romance']",7.3,92.0,Modern Era
339,1983,1984,56,Terms of Endearment,True,en,Terms of Endearment,1983-11-20,7.103,"['Drama', 'Comedy']",7.4,132.0,Modern Era
340,1984,1985,57,Amadeus,True,en,Amadeus,1984-09-19,8.036,"['History', 'Music', 'Drama']",8.4,160.0,Modern Era
341,1984,1985,57,The Killing Fields,False,en,The Killing Fields,1984-11-23,7.504,"['Drama', 'History', 'War']",7.8,141.0,Modern Era
342,1984,1985,57,A Passage to India,False,en,A Passage to India,1984-12-14,6.801,"['Drama', 'Adventure', 'History']",7.3,164.0,Modern Era
343,1984,1985,57,Places in the Heart,False,en,Places in the Heart,1984-09-11,7.152,['Drama'],7.4,111.0,Modern Era
344,1984,1985,57,A Soldier's Story,False,en,A Soldier's Story,1984-09-14,6.729,"['Drama', 'Mystery', 'War', 'Crime']",7.2,101.0,Modern Era
345,1985,1986,58,The Color Purple,False,en,The Color Purple,1985-12-18,7.747,"['Drama', 'History']",7.7,154.0,Modern Era
346,1985,1986,58,Kiss of the Spider Woman,False,en,Kiss of the Spider Woman,1985-07-26,7.038,['Drama'],7.3,120.0,Modern Era
347,1985,1986,58,Out of Africa,True,en,Out of Africa,1985-12-20,7.167,"['History', 'Romance', 'Drama']",7.1,161.0,Modern Era
348,1985,1986,58,Prizzi's Honor,False,en,Prizzi's Honor,1985-06-14,6.346,"['Romance', 'Comedy', 'Crime']",6.7,130.0,Modern Era
349,1985,1986,58,Witness,False,en,Witness,1985-02-08,7.082,"['Crime', 'Drama', 'Romance', 'Thriller']",7.4,112.0,Modern Era
350,1986,1987,59,Children of a Lesser God,False,en,Children of a Lesser God,1986-09-13,6.93,"['Drama', 'Romance']",7.2,119.0,Modern Era
351,1986,1987,59,Hannah and Her Sisters,False,en,Hannah and Her Sisters,1986-02-07,7.503,"['Comedy', 'Drama']",7.8,107.0,Modern Era
352,1986,1987,59,The Mission,False,en,The Mission,1986-09-24,7.393,"['Adventure', 'Drama', 'Action', 'History']",7.4,125.0,Modern Era
353,1986,1987,59,Platoon,True,en,Platoon,1986-12-19,7.746,"['Drama', 'War', 'Action']",8.1,120.0,Modern Era
354,1986,1987,59,A Room with a View,False,en,A Room with a View,1986-03-07,7.004,"['Drama', 'Romance']",7.2,117.0,Modern Era
355,1987,1988,60,Broadcast News,False,en,Broadcast News,1987-12-16,6.712,"['Comedy', 'Romance']",7.3,133.0,Modern Era
356,1987,1988,60,Fatal Attraction,False,en,Fatal Attraction,1987-09-18,6.849,"['Drama', 'Thriller']",6.9,119.0,Modern Era
357,1987,1988,60,Hope and Glory,False,en,Hope and Glory,1987-09-03,6.778,"['Drama', 'War', 'Family']",7.3,113.0,Modern Era
358,1987,1988,60,The Last Emperor,True,en,The Last Emperor,1987-10-04,7.629,"['Drama', 'History']",7.7,163.0,Modern Era
359,1987,1988,60,Moonstruck,False,en,Moonstruck,1987-12-16,6.863,"['Comedy', 'Drama', 'Romance']",7.1,102.0,Modern Era
360,1988,1989,61,The Accidental Tourist,False,en,The Accidental Tourist,1988-12-23,6.207,"['Comedy', 'Drama', 'Romance']",6.7,121.0,Modern Era
361,1988,1989,61,Dangerous Liaisons,False,en,Dangerous Liaisons,1988-12-21,7.2,"['Drama', 'Romance']",7.6,119.0,Modern Era
362,1988,1989,61,Mississippi Burning,False,en,Mississippi Burning,1988-12-08,7.665,"['Drama', 'Crime']",7.8,128.0,Modern Era
363,1988,1989,61,Rain Man,True,en,Rain Man,1988-12-12,7.76,['Drama'],8.0,133.0,Modern Era
364,1988,1989,61,Working Girl,False,en,Working Girl,1988-12-20,6.6,"['Comedy', 'Romance', 'Drama']",6.8,113.0,Modern Era
365,1989,1990,62,Born on the Fourth of July,False,en,Born on the Fourth of July,1989-12-20,7.003,"['Drama', 'War']",7.2,145.0,Modern Era
366,1989,1990,62,Dead Poets Society,False,en,Dead Poets Society,1989-06-02,8.313,['Drama'],8.1,128.0,Modern Era
367,1989,1990,62,Driving Miss Daisy,True,en,Driving Miss Daisy,1989-12-13,7.228,['Drama'],7.3,99.0,Modern Era
368,1989,1990,62,Field of Dreams,False,en,Field of Dreams,1989-04-21,7.106,"['Drama', 'Fantasy']",7.5,107.0,Modern Era
369,1989,1990,62,My Left Foot: The Story of Christy Brown,False,en,My Left Foot: The Story of Christy Brown,1989-04-07,7.521,['Drama'],7.8,103.0,Modern Era
370,1990,1991,63,Awakenings,False,en,Awakenings,1990-12-04,7.756,['Drama'],7.8,121.0,Modern Era
371,1990,1991,63,Dances With Wolves,True,en,Dances with Wolves,1990-03-30,7.847,"['Adventure', 'Drama', 'Western']",8.0,181.0,Modern Era
372,1990,1991,63,Ghost,False,en,Ghost,1990-07-13,7.209,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",7.1,127.0,Modern Era
373,1990,1991,63,The Godfather Part III,False,en,The Godfather Part III,1990-12-25,7.425,"['Crime', 'Drama', 'Thriller']",7.6,162.0,Modern Era
374,1990,1991,63,GoodFellas,False,en,GoodFellas,1990-09-12,8.466,"['Drama', 'Crime']",8.7,145.0,Modern Era
375,1991,1992,64,Beauty and the Beast,False,en,Beauty and the Beast,1991-10-22,7.7,"['Romance', 'Family', 'Animation', 'Fantasy']",8.0,84.0,Modern Era
376,1991,1992,64,Bugsy,False,en,Bugsy,1991-12-10,6.374,"['Crime', 'Drama', 'Mystery']",6.8,136.0,Modern Era
377,1991,1992,64,JFK,False,en,JFK,1991-12-20,7.601,"['Drama', 'Thriller', 'History']",8.0,189.0,Modern Era
378,1991,1992,64,The Prince of Tides,False,en,The Prince of Tides,1991-12-25,6.604,"['Drama', 'Romance']",6.8,132.0,Modern Era
379,1991,1992,64,The Silence of the Lambs,True,en,The Silence of the Lambs,1991-02-14,8.345,"['Crime', 'Drama', 'Thriller']",8.6,118.0,Modern Era
380,1992,1993,65,The Crying Game,False,en,The Crying Game,1992-09-02,6.853,"['Crime', 'Drama', 'Thriller']",7.2,112.0,Modern Era
381,1992,1993,65,A Few Good Men,False,en,A Few Good Men,1992-12-11,7.528,['Drama'],7.7,138.0,Modern Era
382,1992,1993,65,Howards End,False,en,Howards End,1992-03-13,7.053,"['Drama', 'Romance']",7.4,142.0,Modern Era
383,1992,1993,65,Scent of a Woman,False,en,Scent of a Woman,1992-12-23,7.8,"['Drama', 'Romance']",8.0,156.0,Modern Era
384,1992,1993,65,Unforgiven,True,en,Unforgiven,1992-08-07,7.913,['Western'],8.2,130.0,Modern Era
385,1993,1994,66,The Fugitive,False,en,The Fugitive,1993-08-06,7.467,"['Action', 'Thriller', 'Drama']",7.8,130.0,Modern Era
386,1993,1994,66,In the Name of the Father,False,en,In the Name of the Father,1993-12-12,7.902,['Drama'],8.1,133.0,Modern Era
387,1993,1994,66,The Piano,False,en,The Piano,1993-05-19,7.375,"['Drama', 'Romance']",7.5,121.0,Modern Era
388,1993,1994,66,The Remains of the Day,False,en,The Remains of the Day,1993-11-05,7.362,"['Drama', 'Romance']",7.8,134.0,Modern Era
389,1993,1994,66,Schindler's List,True,en,Schindler's List,1993-12-15,8.572,"['Drama', 'History', 'War']",9.0,195.0,Modern Era
390,1994,1995,67,Forrest Gump,True,en,Forrest Gump,1994-06-23,8.477,"['Comedy', 'Drama', 'Romance']",8.8,142.0,Modern Era
391,1994,1995,67,Four Weddings and a Funeral,False,en,Four Weddings and a Funeral,1994-03-09,6.761,"['Comedy', 'Drama', 'Romance']",7.1,117.0,Modern Era
